파일명,클러스터,구간-시작(초),구간-종료(초),최소 주파수(Hz),최대 주파수(Hz),최빈값(Hz),최대 진폭(dB SPL)
1548.wav,0,0.37,1.00,62.25,62.25,62.25,60.48
1550.wav,0,0.30,0.88,889.61,889.61,889.61,54.32
1572.wav,0,0.56,0.74,2126.83,2126.83,2126.83,67.93
1575.wav,8,0.72,1.00,1266.93,1266.93,1266.93,75.35
1576.wav,4,0.00,1.00,1138.76,1138.76,1138.76,63.74
1577.wav,4,0.09,0.98,1266.93,1266.93,1266.93,59.46
1578.wav,0,0.56,0.65,254.32,254.32,254.32,71.97
1581.wav,0,0.37,0.58,2126.83,2126.83,2126.83,69.57
1582.wav,0,0.65,0.79,2126.83,2126.83,2126.83,63.11
1584.wav,0,0.79,0.93,2126.83,2126.83,2126.83,57.88
1585.wav,0,0.00,0.98,372.51,372.51,372.51,65.62
1586.wav,0,0.00,0.98,372.51,372.51,372.51,60.37
1587.wav,1,0.21,0.98,254.32,254.32,254.32,56.30
1588.wav,6,0.02,0.46,136.12,136.12,136.12,95.75
1589.wav,0,0.84,0.95,254.32,254.32,254.32,53.69
1590.wav,1,0.02,0.98,254.32,254.32,254.32,58.98
1591.wav,0,0.02,0.98,136.12,136.12,136.12,55.06
1592.wav,0,0.02,0.98,254.32,254.32,254.32,58.32
1593.wav,0,0.02,0.98,254.32,254.32,254.32,57.72
1594.wav,0,0.02,0.98,254.32,254.32,254.32,57.18
1595.wav,0,0.02,0.98,254.32,254.32,254.32,60.32
1596.wav,0,0.05,0.98,254.32,254.32,254.32,58.90
1597.wav,0,0.02,0.98,254.32,254.32,254.32,58.16
1598.wav,0,0.02,0.98,254.32,254.32,254.32,58.76
1599.wav,0,0.02,0.98,254.32,254.32,254.32,60.00
1600.wav,0,0.02,0.98,254.32,254.32,254.32,58.04
1601.wav,0,0.02,0.98,254.32,254.32,254.32,59.33
1602.wav,0,0.02,0.98,254.32,254.32,254.32,59.82
1603.wav,0,0.02,1.00,254.32,254.32,254.32,61.15
1604.wav,0,0.02,0.93,254.32,254.32,254.32,60.71
1605.wav,0,0.00,1.00,2126.83,2126.83,2126.83,65.26
1606.wav,0,0.00,1.00,2126.83,2126.83,2126.83,66.60
1607.wav,0,0.00,0.37,2126.83,2126.83,2126.83,69.44
1610.wav,0,0.26,0.39,2126.83,2126.83,2126.83,64.14
1612.wav,0,0.49,0.67,2126.83,2126.83,2126.83,69.96
1614.wav,0,0.79,0.98,2126.83,2126.83,2126.83,70.54
1615.wav,1,0.00,1.00,372.51,372.51,372.51,71.39
1616.wav,1,0.00,1.00,372.51,372.51,372.51,70.53
1617.wav,2,0.00,0.98,372.51,372.51,372.51,67.44
1618.wav,1,0.02,0.98,372.51,372.51,372.51,57.22
1619.wav,0,0.00,0.98,254.32,254.32,254.32,60.70
1620.wav,0,0.02,0.98,254.32,254.32,254.32,60.99
1621.wav,0,0.02,0.98,254.32,254.32,254.32,60.45
1622.wav,0,0.02,0.98,254.32,254.32,254.32,61.20
1623.wav,0,0.02,0.98,254.32,254.32,254.32,59.51
1624.wav,0,0.02,0.98,254.32,254.32,254.32,58.41
1625.wav,0,0.02,1.00,254.32,254.32,254.32,58.41
1626.wav,0,0.02,0.98,254.32,254.32,254.32,59.94
1627.wav,0,0.02,0.98,254.32,254.32,254.32,58.23
1628.wav,0,0.02,0.98,254.32,254.32,254.32,58.17
1629.wav,0,0.02,0.98,254.32,254.32,254.32,58.66
1630.wav,0,0.02,0.98,254.32,254.32,254.32,58.51
1631.wav,0,0.02,0.98,254.32,254.32,254.32,59.24
1632.wav,0,0.02,0.98,254.32,254.32,254.32,58.56
1633.wav,0,0.02,0.98,254.32,254.32,254.32,59.01
1634.wav,1,0.00,0.79,372.51,372.51,372.51,60.00
1635.wav,0,0.00,1.00,2126.83,2126.83,2126.83,69.11
1636.wav,0,0.00,1.00,2126.83,2126.83,2126.83,69.02
1637.wav,0,0.00,0.37,2126.83,2126.83,2126.83,66.66
1645.wav,1,0.02,0.28,77.03,77.03,77.03,70.10
1649.wav,0,0.12,0.91,254.32,254.32,254.32,51.72
1650.wav,0,0.12,0.56,254.32,254.32,254.32,50.93
1651.wav,0,0.05,0.81,136.12,136.12,136.12,62.13
1652.wav,1,0.02,0.98,254.32,254.32,254.32,56.16
1653.wav,0,0.00,0.88,136.12,136.12,136.12,58.71
1654.wav,0,0.02,0.88,136.12,136.12,136.12,58.07
1655.wav,0,0.02,0.95,136.12,136.12,136.12,57.12
1656.wav,0,0.05,0.95,136.12,136.12,136.12,55.51
1657.wav,1,0.02,0.60,254.32,254.32,254.32,52.83
1658.wav,0,0.02,0.93,136.12,136.12,136.12,53.91
1659.wav,0,0.07,0.98,136.12,136.12,136.12,56.41
1660.wav,1,0.02,0.98,254.32,254.32,254.32,58.22
1661.wav,1,0.00,1.00,254.32,254.32,254.32,67.65
1662.wav,0,0.00,1.00,136.12,136.12,136.12,65.07
1663.wav,0,0.00,1.00,136.12,136.12,136.12,66.10
1664.wav,0,0.00,0.98,136.12,136.12,136.12,65.71
1665.wav,1,0.00,1.00,254.32,254.32,254.32,68.73
1666.wav,2,0.00,1.00,239.54,239.54,239.54,52.47
1667.wav,9,0.00,1.00,254.32,254.32,254.32,72.19
1668.wav,14,0.00,0.98,254.32,254.32,254.32,87.42
1669.wav,1,0.02,1.00,254.32,254.32,254.32,63.68
1670.wav,0,0.02,0.98,136.12,136.12,136.12,61.48
1671.wav,0,0.02,0.98,136.12,136.12,136.12,60.13
1672.wav,0,0.02,0.98,136.12,136.12,136.12,63.64
1673.wav,0,0.02,0.98,136.12,136.12,136.12,62.23
1674.wav,0,0.00,0.98,136.12,136.12,136.12,61.10
1675.wav,0,0.02,0.98,136.12,136.12,136.12,60.25
1676.wav,0,0.02,1.00,136.12,136.12,136.12,60.53
1677.wav,0,0.02,0.98,136.12,136.12,136.12,61.65
1678.wav,1,0.00,0.98,254.32,254.32,254.32,62.14
1679.wav,0,0.02,0.98,136.12,136.12,136.12,60.16
1680.wav,0,0.02,0.98,136.12,136.12,136.12,61.00
1681.wav,1,0.02,0.98,254.32,254.32,254.32,61.59
1682.wav,0,0.02,0.95,136.12,136.12,136.12,59.43
1683.wav,0,0.02,0.98,136.12,136.12,136.12,58.56
1684.wav,1,0.02,0.98,254.32,254.32,254.32,61.54
1685.wav,0,0.02,0.98,136.12,136.12,136.12,57.20
1686.wav,0,0.05,0.93,136.12,136.12,136.12,57.64
1687.wav,1,0.02,1.00,254.32,254.32,254.32,59.45
1688.wav,0,0.02,0.95,136.12,136.12,136.12,56.93
1689.wav,1,0.02,1.00,254.32,254.32,254.32,59.22
1690.wav,1,0.00,1.00,254.32,254.32,254.32,60.21
1691.wav,0,0.02,0.98,136.12,136.12,136.12,58.05
1692.wav,0,0.02,0.98,136.12,136.12,136.12,56.49
1693.wav,1,0.00,0.98,254.32,254.32,254.32,61.23
1694.wav,0,0.02,0.91,136.12,136.12,136.12,58.79
1695.wav,0,0.05,0.98,136.12,136.12,136.12,57.04
1696.wav,1,0.00,0.98,254.32,254.32,254.32,62.76
1697.wav,1,0.02,0.98,254.32,254.32,254.32,62.07
1698.wav,1,0.00,0.98,254.32,254.32,254.32,62.59
1699.wav,1,0.00,0.98,254.32,254.32,254.32,62.82
1700.wav,0,0.02,0.98,136.12,136.12,136.12,56.52
1701.wav,1,0.02,0.98,254.32,254.32,254.32,60.88
1702.wav,0,0.77,0.98,254.32,254.32,254.32,57.53
1703.wav,0,0.02,0.98,254.32,254.32,254.32,60.12
1704.wav,0,0.02,0.81,254.32,254.32,254.32,57.94
1705.wav,0,0.02,0.21,2840.92,2840.92,2840.92,55.66
1706.wav,0,0.02,0.98,254.32,254.32,254.32,58.07
1707.wav,0,0.02,0.93,136.12,136.12,136.12,54.88
1708.wav,0,0.02,0.44,254.32,254.32,254.32,59.80
1708.wav,2,0.46,0.86,2840.92,2840.92,2840.92,60.00
1709.wav,0,0.79,0.98,254.32,254.32,254.32,54.07
1710.wav,1,0.02,0.98,254.32,254.32,254.32,56.30
1711.wav,0,0.05,0.70,136.12,136.12,136.12,54.61
1712.wav,0,0.02,0.95,254.32,254.32,254.32,57.27
1713.wav,0,0.00,0.72,2840.92,2840.92,2840.92,60.51
1714.wav,0,0.72,0.84,209.99,209.99,209.99,56.81
1720.wav,0,0.44,0.81,4033.21,4033.21,4033.21,62.13
1735.wav,0,0.02,0.74,62.25,62.25,62.25,62.08
1736.wav,1,0.02,0.79,62.25,62.25,62.25,82.64
1737.wav,0,0.14,0.23,342.96,342.96,342.96,76.07
1738.wav,0,0.00,0.98,62.25,62.25,62.25,61.17
1739.wav,1,0.00,0.79,77.03,77.03,77.03,64.23
1741.wav,0,0.14,0.98,77.03,77.03,77.03,59.34
1742.wav,0,0.05,0.33,62.25,62.25,62.25,56.74
1743.wav,5,0.07,0.93,150.90,150.90,150.90,67.24
1744.wav,6,0.00,0.19,254.32,254.32,254.32,65.50
1744.wav,3,0.30,0.39,209.99,209.99,209.99,53.50
1744.wav,0,0.88,1.00,77.03,77.03,77.03,60.10
1745.wav,1,0.02,0.95,77.03,77.03,77.03,61.53
1748.wav,1,0.60,0.72,91.80,91.80,91.80,58.45
1749.wav,1,0.00,0.65,62.25,62.25,62.25,86.21
1750.wav,0,0.21,0.35,91.80,91.80,91.80,61.53
1754.wav,0,0.14,0.30,1521.10,1521.10,1521.10,82.86
1756.wav,14,0.07,0.86,254.32,254.32,254.32,95.50
1761.wav,1,0.63,0.93,91.80,91.80,91.80,70.35
1762.wav,3,0.02,0.70,91.80,91.80,91.80,96.62
1766.wav,2,0.00,0.09,535.03,535.03,535.03,59.44
1768.wav,0,0.09,0.21,77.03,77.03,77.03,57.18
1768.wav,1,0.42,0.91,357.74,357.74,357.74,65.60
1770.wav,0,0.39,0.49,549.80,549.80,549.80,59.09
1771.wav,6,0.35,0.46,416.84,416.84,416.84,73.44
1779.wav,0,0.49,0.58,431.61,431.61,431.61,72.77
1780.wav,0,0.12,0.23,431.61,431.61,431.61,63.20
1781.wav,1,0.53,0.77,461.16,461.16,461.16,58.21
1785.wav,0,0.14,0.67,328.19,328.19,328.19,55.90
1786.wav,0,0.33,0.79,298.64,298.64,298.64,65.59
1787.wav,0,0.28,0.42,224.77,224.77,224.77,84.11
1788.wav,0,0.02,0.14,357.74,357.74,357.74,73.15
1796.wav,1,0.60,0.93,313.41,313.41,313.41,62.18
1797.wav,0,0.42,0.81,298.64,298.64,298.64,55.18
1798.wav,0,0.33,0.46,461.16,461.16,461.16,61.97
1802.wav,0,0.79,0.88,461.16,461.16,461.16,56.25
1805.wav,3,0.58,1.00,91.80,91.80,91.80,110.42
1806.wav,0,0.00,0.12,62.25,62.25,62.25,77.60
182.wav,0,0.58,0.98,121.35,121.35,121.35,63.20
1828.wav,1,0.09,0.49,77.03,77.03,77.03,63.08
1829.wav,4,0.21,0.98,1138.76,1138.76,1138.76,59.78
183.wav,2,0.00,1.00,106.57,106.57,106.57,73.77
1830.wav,1,0.00,0.46,549.80,549.80,549.80,76.62
1832.wav,5,0.33,1.00,136.12,136.12,136.12,84.28
1833.wav,2,0.00,0.37,136.12,136.12,136.12,59.91
1835.wav,1,0.23,0.74,91.80,91.80,91.80,58.50
1837.wav,17,0.05,0.44,313.41,313.41,313.41,89.36
1838.wav,11,0.05,0.30,224.77,224.77,224.77,76.04
184.wav,5,0.00,0.95,136.12,136.12,136.12,73.91
1841.wav,0,0.74,1.00,136.12,136.12,136.12,88.03
1842.wav,0,0.00,0.98,136.12,136.12,136.12,80.98
1843.wav,3,0.00,1.00,180.45,180.45,180.45,103.72
1844.wav,3,0.00,1.00,136.12,136.12,136.12,86.75
1845.wav,2,0.00,0.70,121.35,121.35,121.35,60.40
1846.wav,0,0.00,1.00,136.12,136.12,136.12,85.05
1847.wav,0,0.00,0.72,136.12,136.12,136.12,75.59
1848.wav,2,0.00,1.00,165.67,165.67,165.67,105.64
1849.wav,6,0.00,1.00,136.12,136.12,136.12,76.50
185.wav,1,0.00,1.00,77.03,77.03,77.03,70.62
1850.wav,0,0.00,1.00,136.12,136.12,136.12,67.74
1851.wav,3,0.00,1.00,180.45,180.45,180.45,84.87
1852.wav,1,0.00,1.00,136.12,136.12,136.12,61.48
1853.wav,0,0.00,0.98,136.12,136.12,136.12,97.02
1854.wav,0,0.00,1.00,136.12,136.12,136.12,88.56
1855.wav,0,0.00,1.00,136.12,136.12,136.12,83.49
1856.wav,0,0.00,0.98,136.12,136.12,136.12,81.03
1857.wav,1,0.00,1.00,150.90,150.90,150.90,97.72
1858.wav,0,0.00,0.79,91.80,91.80,91.80,58.34
1859.wav,0,0.00,0.79,136.12,136.12,136.12,70.73
186.wav,2,0.02,1.00,91.80,91.80,91.80,87.97
1860.wav,2,0.02,1.00,165.67,165.67,165.67,104.53
1861.wav,1,0.00,1.00,150.90,150.90,150.90,89.05
1862.wav,0,0.00,1.00,136.12,136.12,136.12,72.18
1863.wav,0,0.00,1.00,136.12,136.12,136.12,66.18
1864.wav,3,0.00,1.00,165.67,165.67,165.67,81.83
1865.wav,0,0.00,1.00,136.12,136.12,136.12,78.92
1866.wav,0,0.00,1.00,150.90,150.90,150.90,72.70
1867.wav,3,0.00,0.70,254.32,254.32,254.32,80.63
1868.wav,15,0.12,0.81,387.29,387.29,387.29,104.68
1869.wav,2,0.00,1.00,254.32,254.32,254.32,86.01
187.wav,0,0.00,0.30,62.25,62.25,62.25,69.61
1870.wav,3,0.00,0.91,254.32,254.32,254.32,91.83
1871.wav,11,0.00,1.00,342.96,342.96,342.96,64.62
1872.wav,6,0.00,1.00,254.32,254.32,254.32,94.32
1873.wav,3,0.00,0.74,254.32,254.32,254.32,93.29
1874.wav,10,0.00,0.79,328.19,328.19,328.19,80.65
1875.wav,22,0.00,1.00,505.48,505.48,505.48,78.20
1876.wav,1,0.00,0.67,254.32,254.32,254.32,91.73
1878.wav,0,0.07,0.93,150.90,150.90,150.90,63.59
1879.wav,0,0.00,0.49,180.45,180.45,180.45,56.98
188.wav,2,0.70,0.88,91.80,91.80,91.80,104.12
1880.wav,9,0.26,1.00,254.32,254.32,254.32,83.70
1881.wav,0,0.00,1.00,136.12,136.12,136.12,76.27
1882.wav,0,0.00,0.88,150.90,150.90,150.90,64.40
1883.wav,0,0.02,0.49,150.90,150.90,150.90,57.24
1883.wav,19,0.51,0.84,564.58,564.58,564.58,54.55
1884.wav,44,0.00,0.72,1008.08,1008.08,1008.08,91.65
1885.wav,20,0.00,0.70,682.77,682.77,682.77,64.03
1886.wav,35,0.02,0.37,727.10,727.10,727.10,59.73
1886.wav,11,0.58,0.98,313.41,313.41,313.41,78.96
1887.wav,0,0.00,0.86,165.67,165.67,165.67,67.43
1890.wav,14,0.09,0.91,402.06,402.06,402.06,80.63
1891.wav,15,0.00,0.70,461.16,461.16,461.16,61.57
1892.wav,17,0.09,0.93,490.71,490.71,490.71,71.87
1893.wav,9,0.00,0.63,505.48,505.48,505.48,60.65
1894.wav,8,0.07,0.84,239.54,239.54,239.54,76.07
1895.wav,25,0.00,1.00,520.26,520.26,520.26,100.31
1896.wav,2,0.00,1.00,180.45,180.45,180.45,75.32
1897.wav,1,0.00,1.00,150.90,150.90,150.90,93.81
1898.wav,0,0.00,1.00,121.35,121.35,121.35,68.49
1899.wav,0,0.00,0.98,136.12,136.12,136.12,85.83
1900.wav,0,0.05,0.42,136.12,136.12,136.12,61.02
1900.wav,19,0.79,1.00,505.48,505.48,505.48,75.30
1901.wav,2,0.00,0.98,254.32,254.32,254.32,79.31
1902.wav,10,0.00,0.84,283.87,283.87,283.87,63.21
1903.wav,0,0.00,0.67,165.67,165.67,165.67,71.63
1904.wav,16,0.00,1.00,372.51,372.51,372.51,82.01
1905.wav,1,0.00,1.00,136.12,136.12,136.12,91.10
1906.wav,0,0.00,0.88,121.35,121.35,121.35,68.85
1907.wav,0,0.00,0.63,136.12,136.12,136.12,64.75
1907.wav,35,0.81,0.91,860.06,860.06,860.06,58.60
1908.wav,0,0.00,1.00,195.22,195.22,195.22,72.47
1909.wav,2,0.00,0.58,209.99,209.99,209.99,74.34
1910.wav,31,0.00,0.65,727.10,727.10,727.10,60.51
1911.wav,3,0.00,1.00,209.99,209.99,209.99,89.32
1912.wav,1,0.00,0.77,180.45,180.45,180.45,79.13
1913.wav,5,0.00,0.98,387.29,387.29,387.29,74.83
1914.wav,7,0.02,0.88,387.29,387.29,387.29,74.35
1915.wav,4,0.00,0.46,712.32,712.32,712.32,69.38
1915.wav,18,0.74,0.93,978.26,978.26,978.26,66.47
1916.wav,15,0.00,0.46,963.48,963.48,963.48,64.12
1916.wav,2,0.49,0.98,239.54,239.54,239.54,98.00
1917.wav,10,0.12,0.84,579.35,579.35,579.35,99.96
1918.wav,0,0.00,1.00,195.22,195.22,195.22,62.31
1919.wav,0,0.00,0.33,209.99,209.99,209.99,76.44
1920.wav,0,0.00,0.65,150.90,150.90,150.90,56.74
1921.wav,3,0.00,1.00,239.54,239.54,239.54,78.94
1922.wav,0,0.00,0.91,239.54,239.54,239.54,74.21
1923.wav,3,0.00,0.84,490.71,490.71,490.71,65.79
1924.wav,16,0.00,0.53,727.10,727.10,727.10,102.37
1925.wav,2,0.00,0.74,239.54,239.54,239.54,56.91
1926.wav,18,0.00,0.84,712.32,712.32,712.32,67.07
1927.wav,0,0.00,1.00,136.12,136.12,136.12,78.73
1928.wav,0,0.00,0.51,136.12,136.12,136.12,67.26
1928.wav,27,0.65,0.86,963.48,963.48,963.48,55.10
1929.wav,5,0.00,1.00,165.67,165.67,165.67,101.45
1930.wav,0,0.00,0.44,77.03,77.03,77.03,60.39
1930.wav,30,0.49,1.00,697.55,697.55,697.55,55.81
1931.wav,3,0.00,1.00,165.67,165.67,165.67,93.67
1932.wav,0,0.00,0.53,136.12,136.12,136.12,61.41
1933.wav,0,0.00,0.46,195.22,195.22,195.22,75.01
1935.wav,10,0.35,0.60,298.64,298.64,298.64,65.13
1936.wav,21,0.00,1.00,505.48,505.48,505.48,76.97
1937.wav,2,0.00,0.79,254.32,254.32,254.32,80.72
1938.wav,13,0.00,0.72,520.26,520.26,520.26,79.36
1939.wav,3,0.00,1.00,298.64,298.64,298.64,80.19
1940.wav,1,0.00,0.84,254.32,254.32,254.32,75.33
1941.wav,26,0.00,1.00,520.26,520.26,520.26,105.24
1942.wav,0,0.00,0.72,254.32,254.32,254.32,69.26
1943.wav,1,0.00,0.98,180.45,180.45,180.45,70.10
1944.wav,17,0.00,0.86,446.38,446.38,446.38,63.79
1945.wav,2,0.00,0.93,239.54,239.54,239.54,59.60
1946.wav,25,0.00,0.81,623.68,623.68,623.68,79.64
1947.wav,18,0.00,0.81,446.38,446.38,446.38,107.59
1948.wav,2,0.02,0.81,195.22,195.22,195.22,87.91
1949.wav,4,0.00,0.60,357.74,357.74,357.74,59.84
1949.wav,14,0.79,1.00,505.48,505.48,505.48,94.16
1950.wav,6,0.00,0.91,475.93,475.93,475.93,80.90
1951.wav,20,0.00,0.63,623.68,623.68,623.68,88.78
1952.wav,1,0.05,0.16,239.54,239.54,239.54,73.74
1953.wav,4,0.00,0.65,372.51,372.51,372.51,66.32
1955.wav,2,0.00,0.91,165.67,165.67,165.67,72.67
1956.wav,4,0.00,0.84,209.99,209.99,209.99,104.57
1957.wav,0,0.00,0.74,136.12,136.12,136.12,57.94
1958.wav,0,0.02,0.77,150.90,150.90,150.90,58.90
1959.wav,2,0.00,1.00,180.45,180.45,180.45,76.50
196.wav,1,0.19,0.37,91.80,91.80,91.80,75.55
1960.wav,4,0.00,1.00,209.99,209.99,209.99,105.52
1961.wav,1,0.00,0.93,165.67,165.67,165.67,56.21
1962.wav,32,0.00,0.14,1121.54,1121.54,1121.54,58.13
1962.wav,29,0.19,0.37,948.71,948.71,948.71,64.69
1962.wav,22,0.46,0.58,727.10,727.10,727.10,77.24
1963.wav,3,0.00,0.93,195.22,195.22,195.22,96.13
1964.wav,1,0.00,0.86,150.90,150.90,150.90,69.76
1965.wav,13,0.05,0.42,1138.76,1138.76,1138.76,74.91
1965.wav,0,0.86,1.00,195.22,195.22,195.22,78.84
1966.wav,0,0.00,1.00,180.45,180.45,180.45,56.91
1967.wav,5,0.00,0.88,209.99,209.99,209.99,99.76
1968.wav,0,0.05,0.65,209.99,209.99,209.99,62.17
1968.wav,11,0.67,0.84,564.58,564.58,564.58,59.45
1969.wav,7,0.00,0.81,283.87,283.87,283.87,67.34
1970.wav,11,0.00,0.58,387.29,387.29,387.29,67.23
1971.wav,24,0.00,0.72,549.80,549.80,549.80,69.02
1972.wav,0,0.00,1.00,136.12,136.12,136.12,69.38
1973.wav,0,0.00,0.42,136.12,136.12,136.12,61.83
1973.wav,29,0.63,1.00,697.55,697.55,697.55,87.14
1974.wav,26,0.00,0.70,623.68,623.68,623.68,70.73
1974.wav,32,0.74,0.84,874.84,874.84,874.84,52.41
1975.wav,0,0.00,1.00,136.12,136.12,136.12,73.93
1976.wav,0,0.00,0.79,136.12,136.12,136.12,60.79
1977.wav,16,0.02,0.58,387.29,387.29,387.29,61.67
1978.wav,2,0.00,0.98,165.67,165.67,165.67,74.39
1979.wav,0,0.00,0.77,136.12,136.12,136.12,73.71
1980.wav,21,0.00,0.93,623.68,623.68,623.68,80.84
1981.wav,4,0.00,0.98,195.22,195.22,195.22,92.66
1982.wav,1,0.00,0.72,136.12,136.12,136.12,89.53
1983.wav,0,0.00,1.00,136.12,136.12,136.12,91.43
1984.wav,0,0.00,0.79,136.12,136.12,136.12,72.74
1985.wav,5,0.00,1.00,209.99,209.99,209.99,69.71
1986.wav,0,0.00,1.00,91.80,91.80,91.80,58.26
1987.wav,0,0.00,1.00,121.35,121.35,121.35,62.46
1988.wav,0,0.00,0.91,136.12,136.12,136.12,84.45
1989.wav,1,0.00,1.00,150.90,150.90,150.90,86.25
1990.wav,0,0.00,0.23,136.12,136.12,136.12,57.62
1992.wav,2,0.07,0.70,91.80,91.80,91.80,74.92
1993.wav,4,0.14,0.72,254.32,254.32,254.32,60.83
1994.wav,0,0.19,0.77,62.25,62.25,62.25,68.61
1995.wav,2,0.00,0.53,77.03,77.03,77.03,92.87
1997.wav,13,0.72,0.98,756.64,756.64,756.64,94.72
1998.wav,0,0.00,0.86,136.12,136.12,136.12,79.00
1999.wav,3,0.00,1.00,165.67,165.67,165.67,99.48
2000.wav,0,0.00,0.88,91.80,91.80,91.80,59.76
2001.wav,0,0.00,0.91,136.12,136.12,136.12,84.11
2002.wav,1,0.00,0.93,150.90,150.90,150.90,78.89
2003.wav,0,0.00,0.88,150.90,150.90,150.90,58.70
2004.wav,15,0.09,0.74,431.61,431.61,431.61,108.82
2005.wav,3,0.00,0.93,254.32,254.32,254.32,92.71
2006.wav,5,0.00,1.00,269.09,269.09,269.09,100.24
2007.wav,2,0.00,1.00,254.32,254.32,254.32,92.05
2008.wav,6,0.00,0.88,239.54,239.54,239.54,73.82
2009.wav,0,0.00,1.00,136.12,136.12,136.12,82.90
2010.wav,0,0.00,0.53,136.12,136.12,136.12,67.42
2010.wav,39,0.79,0.88,874.84,874.84,874.84,60.92
2011.wav,1,0.00,1.00,165.67,165.67,165.67,64.75
2012.wav,0,0.00,1.00,150.90,150.90,150.90,68.27
2013.wav,2,0.00,0.79,224.77,224.77,224.77,62.42
2014.wav,24,0.00,1.00,505.48,505.48,505.48,84.77
2015.wav,1,0.00,1.00,150.90,150.90,150.90,90.77
2022.wav,2,0.07,0.95,91.80,91.80,91.80,95.14
2023.wav,3,0.05,0.84,461.16,461.16,461.16,56.51
2024.wav,0,0.07,0.19,372.51,372.51,372.51,60.69
2031.wav,3,0.02,0.70,357.74,357.74,357.74,63.58
2037.wav,1,0.23,0.98,136.12,136.12,136.12,101.79
2038.wav,4,0.00,1.00,180.45,180.45,180.45,100.97
2039.wav,0,0.00,1.00,121.35,121.35,121.35,73.26
2040.wav,0,0.00,0.30,121.35,121.35,121.35,67.40
2041.wav,0,0.07,0.72,136.12,136.12,136.12,70.80
2042.wav,0,0.00,0.91,136.12,136.12,136.12,77.99
2043.wav,1,0.02,0.95,150.90,150.90,150.90,72.12
2044.wav,6,0.00,0.72,209.99,209.99,209.99,80.36
2044.wav,36,0.74,0.95,1228.91,1228.91,1228.91,52.49
2045.wav,0,0.00,0.37,121.35,121.35,121.35,78.12
2045.wav,29,0.74,0.86,638.45,638.45,638.45,84.22
2046.wav,2,0.00,1.00,150.90,150.90,150.90,82.99
2047.wav,0,0.00,0.51,121.35,121.35,121.35,71.61
2048.wav,17,0.00,1.00,372.51,372.51,372.51,79.74
2049.wav,2,0.00,1.00,136.12,136.12,136.12,86.33
205.wav,0,0.51,0.86,106.57,106.57,106.57,65.93
2050.wav,0,0.00,0.39,121.35,121.35,121.35,71.06
2051.wav,2,0.02,1.00,165.67,165.67,165.67,102.69
2052.wav,0,0.00,0.60,136.12,136.12,136.12,70.92
2053.wav,0,0.00,0.14,224.77,224.77,224.77,63.97
2054.wav,17,0.51,1.00,387.29,387.29,387.29,86.99
2055.wav,0,0.00,0.19,121.35,121.35,121.35,64.74
2056.wav,0,0.07,1.00,136.12,136.12,136.12,64.43
2057.wav,3,0.00,1.00,180.45,180.45,180.45,82.01
2058.wav,1,0.00,0.95,136.12,136.12,136.12,92.06
2059.wav,3,0.02,0.88,150.90,150.90,150.90,77.23
2060.wav,2,0.00,0.98,180.45,180.45,180.45,104.15
2061.wav,3,0.02,1.00,180.45,180.45,180.45,87.76
2062.wav,0,0.00,0.88,150.90,150.90,150.90,71.93
2063.wav,34,0.02,1.00,653.22,653.22,653.22,94.57
2064.wav,6,0.00,1.00,224.77,224.77,224.77,78.12
2065.wav,4,0.00,0.84,195.22,195.22,195.22,97.12
2066.wav,34,0.00,1.00,638.45,638.45,638.45,93.62
2067.wav,5,0.00,1.00,209.99,209.99,209.99,64.77
2068.wav,0,0.00,1.00,136.12,136.12,136.12,74.54
2069.wav,1,0.00,0.95,150.90,150.90,150.90,68.07
207.wav,3,0.49,0.98,136.12,136.12,136.12,65.79
2070.wav,2,0.00,0.98,224.77,224.77,224.77,76.27
2071.wav,6,0.00,1.00,224.77,224.77,224.77,86.48
2072.wav,0,0.00,0.98,136.12,136.12,136.12,76.65
2073.wav,4,0.00,0.98,165.67,165.67,165.67,73.71
2074.wav,3,0.00,0.67,180.45,180.45,180.45,78.67
2075.wav,15,0.00,0.95,387.29,387.29,387.29,71.10
2076.wav,0,0.00,0.72,136.12,136.12,136.12,58.41
2076.wav,33,0.74,0.93,1008.08,1008.08,1008.08,56.75
2077.wav,0,0.00,0.79,136.12,136.12,136.12,55.47
2078.wav,0,0.00,0.14,254.32,254.32,254.32,98.50
208.wav,1,0.00,0.98,91.80,91.80,91.80,71.58
2083.wav,0,0.19,0.28,150.90,150.90,150.90,72.84
2084.wav,2,0.00,0.98,165.67,165.67,165.67,63.84
2085.wav,2,0.02,1.00,165.67,165.67,165.67,104.95
2086.wav,0,0.00,1.00,136.12,136.12,136.12,77.83
2087.wav,0,0.00,0.77,136.12,136.12,136.12,74.26
2087.wav,33,0.79,0.91,771.42,771.42,771.42,75.13
2088.wav,4,0.00,0.72,254.32,254.32,254.32,85.77
2088.wav,0,0.74,1.00,136.12,136.12,136.12,66.61
2089.wav,0,0.00,1.00,136.12,136.12,136.12,57.87
209.wav,4,0.00,1.00,136.12,136.12,136.12,76.41
2090.wav,0,0.00,1.00,150.90,150.90,150.90,73.89
2091.wav,0,0.00,0.63,165.67,165.67,165.67,79.16
2091.wav,24,0.70,1.00,963.48,963.48,963.48,63.22
2092.wav,6,0.00,1.00,298.64,298.64,298.64,93.10
2093.wav,0,0.00,0.91,136.12,136.12,136.12,83.03
2094.wav,3,0.00,1.00,254.32,254.32,254.32,74.44
