파일명,클러스터,구간-시작(초),구간-종료(초),최소 주파수(Hz),최대 주파수(Hz),최빈값(Hz),최대 진폭(dB SPL)
1205.wav,0,0.00,1.00,91.80,91.80,91.80,54.24
1206.wav,2,0.00,0.74,91.80,91.80,91.80,69.27
1207.wav,3,0.00,1.00,106.57,106.57,106.57,84.91
1208.wav,2,0.00,1.00,91.80,91.80,91.80,70.58
1209.wav,1,0.00,0.98,77.03,77.03,77.03,64.56
1210.wav,3,0.00,1.00,106.57,106.57,106.57,69.52
1211.wav,3,0.00,0.98,106.57,106.57,106.57,66.56
1212.wav,0,0.23,0.88,121.35,121.35,121.35,53.81
1213.wav,0,0.05,0.72,77.03,77.03,77.03,51.29
1214.wav,0,0.02,0.65,91.80,91.80,91.80,51.52
1215.wav,0,0.02,0.14,106.57,106.57,106.57,57.08
1215.wav,3,0.23,0.91,150.90,150.90,150.90,52.46
1216.wav,0,0.02,0.86,136.12,136.12,136.12,54.83
1218.wav,5,0.02,0.98,121.35,121.35,121.35,84.34
1219.wav,2,0.02,0.98,121.35,121.35,121.35,66.59
1220.wav,2,0.00,0.86,106.57,106.57,106.57,68.87
1221.wav,0,0.00,0.93,136.12,136.12,136.12,64.11
1222.wav,0,0.21,0.95,136.12,136.12,136.12,59.20
1223.wav,0,0.05,0.95,136.12,136.12,136.12,59.53
1224.wav,0,0.84,0.95,180.45,180.45,180.45,56.60
1225.wav,0,0.02,0.95,121.35,121.35,121.35,53.60
1226.wav,5,0.16,0.93,136.12,136.12,136.12,60.29
1227.wav,0,0.00,0.63,77.03,77.03,77.03,61.86
1227.wav,1,0.65,0.98,106.57,106.57,106.57,56.56
1228.wav,1,0.02,0.86,77.03,77.03,77.03,67.61
1229.wav,3,0.21,0.86,106.57,106.57,106.57,67.63
1230.wav,3,0.02,1.00,121.35,121.35,121.35,70.09
1231.wav,4,0.00,0.84,121.35,121.35,121.35,70.58
1232.wav,0,0.02,0.93,62.25,62.25,62.25,59.41
1233.wav,0,0.19,0.88,77.03,77.03,77.03,63.44
1234.wav,1,0.00,0.86,77.03,77.03,77.03,65.43
1235.wav,6,0.00,1.00,150.90,150.90,150.90,74.43
1236.wav,0,0.05,0.93,77.03,77.03,77.03,56.14
1237.wav,1,0.00,1.00,77.03,77.03,77.03,71.74
